Код художника,Фамилия,Имя,Отчество,Дата рождения,Место рождения,Жанр,Стиль
1,Верещагин,Василий,Васильевич,1842-10-26,"Российская федерация, Череповеч",Батальный,Реализм
2,Ван Гог,Винсент,,1853-03-30,"Нидерланды, Зюндерт","Пейзаж, натюрморт, портрет",Постимпрессионизм
3,Мунк,Эдвард,,1863-12-12,"Норвегия, Лётен","Живопись, графика","Модерн, Экспрессионизм"
4,Айвазовский,Иван,Константинович,1817-07-29,"Российская федерация, Феодосия","Марина, батальный",Романтизм
5,Дали,Сальвадор,,1904-05-11,"Испания, Каталония, Фигерас","Натюрморт, жанровая живопись, портрет, пейзаж, аллегория и религиозное искусство","Сюрреализм, дадаизм, кубизм"
6,Да Винчи,Леонардо,,1452-04-15,"Флорентийская республика, близ Винчи",Батальный,Сфумато
7,Буонарроти,Микеланджело,,1564-03-06,"Италия, Ареццо","Скульптура,живопись, архитектура, поэзия","Раннее барокко"
8,Уистлер,Джеймс,,1834-07-11,"США, штат Массачусетс, Лоуэлл","Художник, живописец, портретист, гравёр, литограф","Тонализм, реализм"
